;LogisticRegressionCV;DecisionTreeClassifier;SVC;XGBClassifier;MLPClassifier;RandomForestClassifier
0;0;2;0;9;0;9
1;0;2;0;9;0;10
2;0;0;10;8;0;8
3;0;2;9;9;0;11
4;0;1;0;5;0;13
5;0;2;0;8;0;12
6;0;2;0;8;0;12
7;0;1;0;8;0;12
8;0;3;0;8;0;11
9;0;3;0;8;0;11
10;0;1;0;10;0;11
11;0;1;0;10;0;11
12;0;2;0;6;0;12
13;0;0;0;8;0;13
14;0;3;0;6;0;14
15;0;1;0;7;0;10
16;0;1;10;8;0;11
17;0;2;10;8;0;13
18;0;1;10;8;0;11
19;0;2;9;7;0;6
20;0;2;10;10;0;11
21;0;1;10;10;0;11
22;0;1;9;5;0;12
23;0;1;10;8;0;11
24;0;2;0;8;0;9
25;0;2;0;8;0;9
26;0;2;0;7;0;10
27;0;2;0;6;0;8
28;0;1;0;6;0;12
29;0;1;0;6;0;12
30;0;1;0;9;0;11
31;0;1;0;8;0;11
32;0;2;0;8;0;16
33;0;2;0;8;0;16
34;0;3;0;7;0;11
35;0;2;0;7;0;14
36;0;2;0;6;0;12
37;0;2;0;7;0;15
38;0;2;0;6;0;11
39;0;2;0;9;0;13
40;0;2;0;7;0;15
41;0;2;0;9;0;18
42;0;2;0;9;0;18
43;0;3;0;7;0;15
44;0;3;0;7;0;15
45;0;0;0;8;0;6
46;0;2;0;9;0;13
47;0;2;0;9;0;13
48;0;2;0;9;0;8
49;0;2;0;9;0;8
50;0;1;0;9;0;11
51;0;1;11;7;0;8
52;0;1;10;7;0;11
53;0;1;10;7;0;12
54;0;1;10;6;0;10
55;0;1;10;9;0;9
56;0;1;10;9;0;11
57;0;1;11;7;0;15
58;0;1;10;6;0;14
59;0;1;10;6;0;13
60;0;1;10;6;0;16
61;0;2;0;7;0;11
62;0;2;0;7;0;13
63;0;1;0;6;0;11
64;0;1;0;6;0;11
65;0;1;0;7;0;14
66;0;1;0;7;0;14
67;0;2;0;7;0;12
68;0;2;0;7;0;12
69;0;2;0;5;0;13
70;0;2;0;5;0;13
71;0;1;0;5;0;8
72;0;1;0;5;0;8
73;0;1;0;8;0;11
74;0;1;0;8;0;11
75;0;2;0;8;0;15
76;0;2;0;8;0;15
77;0;0;0;7;0;12
78;0;2;0;6;0;12
79;0;2;0;6;0;12
80;0;2;0;8;0;10
81;0;2;0;9;0;15
82;0;2;0;9;0;15
83;0;2;0;8;0;12
84;0;2;0;8;0;12
85;0;1;0;7;0;8
86;0;1;0;7;0;8
87;0;2;0;9;0;11
88;0;2;0;10;0;13
89;0;2;0;10;0;13
90;0;1;8;7;0;15
91;0;1;9;9;0;8
92;0;1;9;9;0;8
93;0;1;8;9;0;9
94;0;1;8;8;0;9
95;0;1;8;8;0;9
96;0;1;8;8;0;9
97;0;1;8;8;0;9
98;0;1;7;7;0;4
99;0;2;0;7;0;8
100;0;2;0;7;0;8
101;0;1;0;7;0;13
102;0;1;0;5;0;13
103;0;1;0;5;0;13
104;0;1;0;5;0;11
105;0;1;0;5;0;11
106;0;1;0;6;0;15
107;0;1;0;6;0;15
108;0;1;0;8;0;12
109;0;1;0;8;0;12
110;0;2;0;6;0;14
111;0;2;0;9;0;11
112;0;2;0;9;0;11
113;0;2;0;5;0;11
114;0;2;0;5;0;11
115;0;0;0;8;0;10
116;0;2;0;6;0;19
117;0;2;0;6;0;19
118;0;0;0;9;0;15
119;0;0;0;9;0;15
120;0;0;0;9;0;15
121;0;2;11;9;0;7
122;0;1;10;8;0;12
123;0;1;11;5;0;13
124;0;1;11;5;0;13
125;0;2;9;7;0;11
126;0;1;10;6;0;8
127;0;2;10;8;0;7
128;0;1;9;6;0;11
129;0;1;10;7;0;10
130;0;2;10;7;0;14
131;0;0;10;7;0;8
132;0;1;8;6;0;7
133;0;1;8;6;0;7
134;0;0;7;10;0;10
135;0;1;7;7;0;13
136;0;1;8;6;0;11
137;0;1;8;6;0;11
138;0;0;8;6;0;11
139;0;1;8;5;0;9
140;0;1;8;5;0;9
141;0;2;0;8;0;11
142;0;2;0;8;0;11
143;0;2;0;9;0;15
144;0;2;0;9;0;15
145;0;2;0;7;0;6
146;0;1;0;10;0;10
147;0;2;0;11;0;13
148;0;2;0;11;0;13
149;0;2;0;10;0;14
150;0;2;0;10;0;14
151;0;2;0;11;0;14
152;0;2;0;11;0;14
153;0;2;9;7;0;8
154;0;1;10;7;0;6
155;0;1;0;10;0;13
156;0;0;0;9;0;9
157;0;2;0;9;0;11
158;0;2;0;7;0;7
159;0;2;0;6;0;10
160;0;2;0;7;0;13
161;0;2;0;6;0;17
162;0;2;0;6;0;17
163;0;1;10;8;0;10
164;0;3;10;9;0;10
165;0;3;10;6;0;6
166;0;2;10;7;0;8
167;0;2;11;6;0;9
168;0;2;11;6;0;9
169;0;2;0;6;0;10
170;0;2;10;8;0;13
171;0;1;11;8;0;8
172;0;1;9;8;0;14
173;0;0;9;9;0;13
174;0;2;10;8;0;12
175;0;2;0;7;0;6
176;0;1;0;10;0;9
177;0;1;0;9;0;6
178;0;2;0;7;0;12
179;0;2;0;7;0;12
180;0;2;0;10;0;11
181;0;2;0;9;0;4
182;0;2;0;7;0;7
183;0;3;0;11;0;6
184;0;2;0;10;0;6
185;0;2;0;10;0;6
186;0;2;0;11;0;6
187;0;2;0;11;0;8
188;0;2;0;8;0;5
189;0;2;0;10;0;6
190;0;2;0;9;0;12
191;0;1;0;8;0;12
192;0;2;0;6;0;15
193;0;2;0;6;0;9
194;0;1;0;7;0;13
195;0;1;0;6;0;10
196;0;2;0;7;0;8
197;0;1;0;6;0;7
198;0;1;0;8;0;10
199;0;2;10;5;0;11
200;0;2;10;5;0;11
201;0;2;10;8;0;16
202;0;1;10;7;0;10
203;0;2;10;12;0;12
204;0;3;10;9;0;9
205;0;2;0;9;0;14
206;0;1;0;11;0;10
207;0;1;0;10;0;11
208;0;2;0;10;0;9
209;0;1;0;8;0;10
210;0;2;10;10;0;13
211;0;1;10;7;0;10
212;0;2;10;6;0;10
213;0;2;10;6;0;13
214;0;0;10;7;0;13
215;0;2;10;7;0;11
216;0;0;10;6;0;14
217;0;1;0;9;0;11
218;0;2;0;7;0;11
219;0;3;0;7;0;15
220;0;2;10;6;0;9
221;0;1;0;11;0;12
222;0;2;0;11;0;10
223;0;1;0;10;0;11
224;0;3;10;7;0;17
225;0;1;10;7;0;10
226;0;2;0;7;0;12
227;0;2;0;8;0;12
228;0;2;0;5;0;10
229;0;1;0;8;0;13
230;0;1;0;8;0;10
231;0;2;0;6;0;8
232;0;2;0;6;0;8
233;0;2;0;8;0;10
234;0;2;0;8;0;10
235;0;1;0;7;0;8
236;0;1;0;5;0;11
237;0;1;0;5;0;13
238;0;2;0;4;0;14
239;0;2;0;8;0;6
240;0;2;0;7;0;8
241;0;2;0;7;0;8
242;0;2;0;6;0;10
243;0;3;0;4;0;12
244;0;1;0;5;0;9
245;0;2;0;5;0;8
246;0;1;0;4;0;6
247;0;1;10;7;0;8
248;0;1;0;8;0;9
249;0;2;0;8;0;13
250;0;2;10;8;0;11
251;0;2;10;8;0;13
252;0;2;10;7;0;11
253;0;2;10;7;0;11
254;0;2;10;5;0;11
255;0;2;10;6;0;13
256;0;1;10;4;0;12
257;0;0;10;5;0;10
258;0;0;10;6;0;11
259;0;1;0;8;0;15
260;0;2;0;6;0;10
261;0;3;0;8;0;13
262;0;0;0;8;0;5
263;0;0;0;7;0;12
264;0;0;0;9;0;10
265;0;0;0;7;0;9
266;0;0;0;7;0;9
267;0;1;0;6;0;4
268;0;1;0;6;0;4
269;0;2;0;7;0;9
270;0;2;0;9;0;7
271;0;2;0;6;0;12
272;0;2;0;6;0;12
273;0;1;0;8;0;10
274;0;1;0;8;0;10
275;0;1;10;10;0;12
276;0;1;10;10;0;12
277;0;1;10;7;0;9
278;0;1;10;6;0;11
279;0;2;10;7;0;16
280;0;1;10;5;0;11
281;0;1;9;5;0;10
282;0;2;10;4;0;11
283;0;0;10;10;0;11
284;0;1;9;8;0;12
285;0;2;0;8;0;14
286;0;2;0;8;0;14
287;0;0;0;11;0;10
288;0;0;0;11;0;10
289;0;1;2;8;0;5
290;0;2;2;12;0;12
291;0;1;10;7;0;16
292;0;1;10;8;0;15
293;0;1;10;9;0;12
294;0;1;10;9;0;12
295;0;1;0;8;0;13
296;0;0;0;10;0;11
297;0;2;0;6;0;8
298;0;2;0;5;0;11
299;0;1;0;6;0;13
300;0;3;0;8;0;12
301;0;3;0;8;0;10
302;0;2;10;6;0;15
303;0;1;10;6;0;10
304;0;1;10;9;0;19
305;0;1;10;9;0;19
306;0;2;10;9;0;15
307;0;2;10;5;0;18
308;0;1;10;5;0;9
309;0;2;10;8;0;12
310;0;1;10;9;0;12
311;0;2;0;9;0;8
312;0;2;0;9;0;8
313;0;2;3;8;0;12
314;0;2;3;8;0;12
315;0;2;3;7;0;9
316;0;2;3;7;0;9
317;0;1;3;8;0;9
318;0;1;3;8;0;9
319;0;2;3;6;0;7
320;0;2;3;6;0;7
321;0;2;3;7;0;6
322;0;2;3;7;0;6
323;0;1;10;7;0;8
324;0;1;9;7;0;12
325;0;1;9;6;0;11
326;0;1;9;7;0;11
327;0;1;9;5;0;9
328;0;1;9;5;0;9
329;0;2;9;7;0;14
330;0;2;9;8;0;13
331;0;1;9;6;0;11
332;0;1;10;5;0;11
333;0;1;0;7;0;8
334;0;2;0;4;0;12
335;0;1;0;5;0;13
336;0;1;0;5;0;7
337;0;2;0;6;0;13
338;0;1;0;5;0;7
339;0;1;0;5;0;7
340;0;2;3;6;0;11
341;0;2;3;6;0;8
342;0;1;3;5;0;9
343;0;2;3;5;0;8
344;0;1;9;7;0;16
345;0;1;9;5;0;10
